"DATES" "FL344090005.Q" "FL344004005.Q" "FL343061105.Q" "FL343061705.Q" "FL343063005.Q" "FL343064105.Q" "FL343150005.Q" "FL344090005.Q"
"197302" 35497 0 0 0 0 0 35497 35497
"197303" 35193 0 0 0 0 0 35193 35193
"197304" 35499 0 0 0 0 0 35499 35499
"197401" 35113 0 0 0 0 0 35113 35113
"197402" 38912 0 0 0 0 0 38912 38912
"197403" 38126 0 0 0 0 0 38126 38126
"197404" 38238 0 0 0 0 0 38238 38238
"197501" 37947 0 0 0 0 0 37947 37947
"197502" 43043 0 0 0 0 0 43043 43043
"197503" 41962 0 0 0 0 0 41962 41962
"197504" 42061 0 0 0 0 0 42061 42061
"197601" 41323 0 0 0 0 0 41323 41323
"197602" 47681 0 0 0 0 0 47681 47681
"197603" 46312 0 0 0 0 0 46312 46312
"197604" 46657 0 0 0 0 0 46657 46657
"197701" 45466 0 0 0 0 0 45466 45466
"197702" 46928 0 0 0 0 0 46928 46928
"197703" 53102 0 0 0 0 0 53102 53102
"197704" 53232 0 0 0 0 0 53232 53232
"197801" 51966 0 0 0 0 0 51966 51966
"197802" 53425 0 0 0 0 0 53425 53425
"197803" 59653 0 0 0 0 0 59653 59653
"197804" 60259 0 0 0 0 0 60259 60259
"197901" 58551 0 0 0 0 0 58551 58551
"197902" 60046 0 0 0 0 0 60046 60046
"197903" 67607 0 0 0 0 0 67607 67607
"197904" 68259 0 0 0 0 0 68259 68259
"198001" 66161 0 0 0 0 0 66161 66161
"198002" 67358 0 0 0 0 0 67358 67358
"198003" 76924 0 0 0 0 0 76924 76924
"198004" 77183 0 0 0 0 0 77183 77183
"198101" 74439 0 0 0 0 0 74439 74439
"198102" 75653 0 0 0 0 0 75653 75653
"198103" 86895 0 0 0 0 0 86895 86895
"198104" 87179 0 0 0 0 0 87179 87179
"198201" 84313 0 0 0 0 0 84313 84313
"198202" 86345 0 0 0 0 0 86345 86345
"198203" 98516 0 0 0 0 0 98516 98516
"198204" 99245 0 0 0 0 0 99245 99245
"198301" 96374 0 0 0 0 0 96374 96374
"198302" 98735 0 0 0 0 0 98735 98735
"198303" 111500 0 0 0 0 0 111500 111500
"198304" 113787 0 0 0 0 0 113787 113787
"198401" 111640 0 0 0 0 0 111640 111640
"198402" 115547 0 0 0 0 0 115547 115547
"198403" 128964 0 0 0 0 0 128964 128964
"198404" 132262 0 0 0 0 0 132262 132262
"198501" 140863 0 0 0 0 0 140863 140863
"198502" 144839 0 0 0 0 0 144839 144839
"198503" 158741 0 0 0 0 0 158741 158741
"198504" 172130 0 0 0 0 0 172130 172130
"198601" 169702 0 0 0 0 0 169702 169702
"198602" 175169 0 0 0 0 0 175169 175169
"198603" 186641 0 0 0 0 0 186641 186641
"198604" 201682 0 0 0 0 0 201682 201682
"198701" 198583 0 0 0 0 0 198583 198583
"198702" 204634 390 390 0 0 0 204244 204634
"198703" 218568 727 727 0 0 0 217841 218568
"198704" 233036 1086 1086 0 0 0 231950 233036
"198801" 229393 1434 1434 0 0 0 227959 229393
"198802" 236773 1844 1844 0 0 0 234929 236773
"198803" 250466 2268 2265 0 3 5 248193 250466
"198804" 267467 2730 2726 0 4 7 264730 267467
"198901" 263411 3217 3210 0 7 18 260176 263411
"198902" 271969 3752 3742 0 10 27 268190 271969
"198903" 285497 4276 4263 0 13 42 281179 285497
"198904" 304212 4870 4852 0 18 55 299287 304212
"199001" 299567 5440 5413 0 27 89 294038 299567
"199002" 307259 6061 6024 0 37 123 301075 307259
"199003" 321639 6749 6703 0 46 142 314748 321639
"199004" 340375 7394 7302 0 92 340 332641 340375
"199101" 335238 8158 8041 0 117 449 326631 335238
"199102" 345108 8633 8503 0 130 474 336001 345108
"199103" 360727 9342 9180 20 142 751 350634 360727
"199104" 382087 10043 9841 45 157 1045 370999 382087
"199201" 376745 10675 10417 80 178 1385 364685 376745
"199202" 387503 11433 11131 107 195 1696 374374 387503
"199203" 404175 12272 11904 148 220 2001 389902 404175
"199204" 426292 13091 12667 183 241 2415 410786 426292
"199301" 419577 13828 13349 217 262 2929 402820 419577
"199302" 430320 14644 14083 268 293 3293 412383 430320
"199303" 446523 15514 14850 332 332 3779 427230 446523
"199304" 468435 16173 15433 380 360 4398 447864 468435
"199401" 461655 16915 16083 438 394 4792 439948 461655
"199402" 472349 17797 16940 454 403 5179 449373 472349
"199403" 488600 18885 17998 473 414 5832 463883 488600
"199404" 511545 19860 18977 470 413 6179 485506 511545
"199501" 505187 21124 20216 486 422 7171 476892 505187
"199502" 517309 21883 20933 513 437 8508 486918 517309
"199503" 534225 22662 21662 545 455 9946 501617 534225
"199504" 541060 23269 22197 589 483 11459 506332 541060
"199601" 547811 23840 22686 639 515 13121 510850 547811
"199602" 561818 24204 23044 643 517 14964 522650 561818
"199603" 577185 25035 23829 671 535 16362 535788 577185
"199604" 605810 25640 24421 679 540 18778 561392 605810
"199701" 597778 26064 24835 685 544 20177 551537 597778
"199702" 612453 26571 25327 694 550 24842 561040 612453
"199703" 631414 26869 25599 710 560 27943 576602 631414
"199704" 659113 27474 26141 749 584 29946 601693 659113
"199801" 653611 27918 26520 789 609 35224 590469 653611
"199802" 667625 28245 26807 814 624 37848 601532 667625
"199803" 679681 28960 27414 881 665 34445 616276 679681
"199804" 716022 30151 28475 959 717 42960 642911 716022
"199901" 709155 30398 28677 986 735 46203 632554 709155
"199902" 724836 31318 29582 995 741 50782 642736 724836
"199903" 738083 32139 30427 981 731 48476 657468 738083
"199904" 774006 33064 31424 936 704 56909 684033 774006
"200001" 766209 32854 31311 875 668 60405 672950 766209
"200002" 776803 33414 31893 861 660 60060 683329 776803
"200003" 792146 34068 32514 882 672 60715 697363 792146
"200004" 796656 35145 33420 994 731 56576 704935 796656
"200101" 800150 37817 35316 1504 997 49059 713274 800150
"200102" 817254 39606 36863 1663 1080 52733 724915 817254
"200103" 824257 42228 38460 2337 1431 43796 738233 824257
"200104" 859691 44830 40581 2639 1610 49091 765770 859691
"200201" 850652 46297 42107 2602 1588 50618 753737 850652
"200202" 855307 48076 43592 2787 1697 44660 762571 855307
"200203" 863665 52637 47160 3411 2066 37343 773685 863665
"200204" 893782 57550 50166 4566 2818 45933 790299 893782
"200301" 882469 64381 54223 6266 3892 50285 767803 882469
"200302" 904653 64990 54800 6285 3905 61019 778644 904653
"200303" 920249 64759 55574 5632 3553 67344 788146 920249
"200304" 958463 63576 55267 5075 3234 79921 814966 958463
"200401" 949668 63784 55795 4870 3119 84701 801183 949668
"200402" 961561 65496 57872 4639 2985 86833 809232 961561
"200403" 978991 68215 60419 4752 3044 86429 824347 978991
"200404" 1023329 68243 60650 4621 2972 99186 855900 1023329
"200501" 1014065 70378 62862 4579 2937 99342 844345 1014065
"200502" 1014978 73218 65564 4674 2980 101637 840123 1014978
"200503" 1037514 75241 67526 4717 2998 108116 854157 1037514
"200504" 1071534 75985 68400 4636 2949 112642 882907 1071534
"200601" 1067387 77337 69874 4568 2895 121290 868760 1067387
"200602" 1073558 81798 74426 4515 2857 118452 873308 1073558
"200603" 1097484 83709 76155 4637 2917 125528 888247 1097484
"200604" 1141091 84344 76730 4686 2928 138080 918667 1141091
"200701" 1131796 88071 80368 4756 2947 140345 903380 1131796
"200702" 1133158 88918 81278 4724 2916 151428 892812 1133158
"200703" 1155072 93307 85447 4890 2970 152738 909027 1155072
"200704" 1197208 96092 88047 5020 3025 149139 951977 1197208
"200801" 1171423 106121 96595 5974 3552 128414 936888 1171423
"200802" 1179190 108103 98869 5815 3419 127627 943460 1179190
"200803" 1188487 115096 105912 5806 3378 111100 962291 1188487
"200804" 1221200 120297 112295 5061 2941 85616 1015287 1221200
"200901" 1192368 124490 116672 4980 2838 74656 993222 1192368
"200902" 1214833 124743 116876 5044 2823 92530 997560 1214833
"200903" 1249683 125770 117438 5380 2952 110393 1013520 1249683
"200904" 1324379 127735 119124 5620 2991 119423 1077221 1324379
"201001" 1317743 129363 120581 5750 3032 127816 1060564 1317743
"201002" 1311032 133603 124509 5989 3105 112621 1064808 1311032
"201003" 1335589 138301 128218 6637 3446 115804 1081484 1335589
